PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Ladle, A; Avgar, T; Wheatley, M; Stenhouse, GB; Nielsen, SE; Boyce, MS				Ladle, Andrew; Avgar, Tal; Wheatley, Matthew; Stenhouse, Gordon B.; Nielsen, Scott E.; Boyce, Mark S.			Grizzly bear response to spatio-temporal variability in human recreational activity	JOURNAL OF APPLIED ECOLOGY			English	Article						grizzly bear; habitat selection; human activity; iSSA; linear disturbance; movement ecology; recreation; trails	RESOURCE SELECTION; HABITAT-SELECTION; BEHAVIORAL-RESPONSES; MOVEMENT PATTERNS; PREDATION RISK; ROADS; CARIBOU; ALBERTA; WOLVES; ELK	Outdoor recreation on trail networks is a growing form of disturbance for wildlife. However, few studies have examined behavioural responses by large carnivores to motorised and non-motorised recreational activity - a knowledge gap that has implications for the success of human access management aimed at improving habitat quality for wildlife. We used an integrated step selection analysis of grizzly bear (Ursus arctos) radiotelemetry data and a spatio-temporal model of motorised and non-motorised human recreational activity to examine how human recreational activity on trails affects both habitat selection and movement behaviour of individual bears. Grizzly bears were captured and radiocollared in the west-central Alberta Rocky Mountains and Foothills, and trail cameras were deployed on trails to obtain data on human recreational activity. We found that models including data on recreational activity outperformed trail-proximity models when interactions with movement covariates were included. Responses were highly variable among individuals and across classes: males, females, and females with cubs. Male and solitary female grizzly bears increased avoidance of trails with a high probability of motorised activity as well as displaying increased movement rates in response to motorised recreation. Females with cubs did not increase avoidance, however they had the largest response in terms of higher movement rates. In contrast, for all classes, selection for proximity to trail increased when probability of non-motorised activity was high, and the effect on movement was dampened relative to the motorised response. Synthesis and applications. By combining selection and movement into a unified modelling framework, we show that bears alter selection and movement behaviour in response to trails and recreation, and that such responses are determined by the type of recreational activity. Reduced selection and increased movement in proximity to motorised trails could affect bears' ability to exploit foraging opportunities in these areas. Future access management actions for grizzly bear recovery should consider frequency and type of linear feature use by humans rather than solely relying on thresholds relating to feature densities.	[Ladle, Andrew; Avgar, Tal; Boyce, Mark S.] Univ Alberta, Dept Biol Sci, Edmonton, AB, Canada; [Wheatley, Matthew; Nielsen, Scott E.] Univ Alberta, Dept Renewable Resources, Edmonton, AB, Canada; [Stenhouse, Gordon B.] fRI Res, Hinton, AB, Canada	Ladle, A (reprint author), Univ Alberta, Dept Biol Sci, Edmonton, AB, Canada.	ladle@ualberta.ca	Nielsen, Scott/O-7482-2019; Boyce, Mark/A-2620-2014	Nielsen, Scott/0000-0002-9754-0630; Avgar, Tal/0000-0002-8764-6976; Boyce, Mark/0000-0001-5811-325X	International Bear Association; Parks Canada; Alberta Conservation Association; Mountain Equipment Co-op; Alberta Environment and Parks; TD: Friends of the Environment; Alberta Biodiversity Monitoring Institute; Safari Club International: Northern Alberta Chapter	International Bear Association; Parks Canada; Alberta Conservation Association; Mountain Equipment Co-op; Alberta Environment and Parks; TD: Friends of the Environment; Alberta Biodiversity Monitoring Institute; Safari Club International: Northern Alberta Chapter		74	1	1	22	22	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0021-8901	1365-2664		J APPL ECOL	J. Appl. Ecol.	FEB	2019	56	2					375	386		10.1111/1365-2664.13277				12	Biodiversity Conservation; Ecology	Biodiversity & Conservation; Environmental Sciences & Ecology	HK0HW	WOS:000457580700011					2019-08-09	
J	Mancini, F; Coghill, GM; Lusseau, D				Mancini, Francesca; Coghill, George M.; Lusseau, David			Quantifying wildlife watchers' preferences to investigate the overlap between recreational and conservation value of natural areas	JOURNAL OF APPLIED ECOLOGY			English	Article						conservation; cultural ecosystem services; infrastructure; naturalness; nature-based tourism; protected areas; recreation; urban green networks	MAPPING RECREATION; TOURISM; LESSONS; BIODIVERSITY; VISITATION; DEMAND	Nature-based recreation substantially benefits human wellbeing, for example, by improving physical and mental health. However, recreation can also have severe ecological impacts. The recreational value of landscapes and natural areas is often used to generate support for public spending in conservation. However, we still don't know whether nature-based recreationists place greater recreational value on natural areas that have high conservation value compared to other green spaces. Here, we determine which attributes of nature-based tourism provide recreational services. We used pictures of wildlife posted on Flickr to quantify wildlife watching activities in Scotland. We then determined the environmental variables key to attracting wildlife watchers to a destination, such as protected areas (PAs), the perceived naturalness, and the presence of different types of infrastructure. Infrastructure best predicts the intensity of wildlife watching activities in Scotland, while areas of high natural value are rarely used. PAs are weak attractors of wildlife watchers, with PAs designated to protect threatened habitats or species having low recreational value. In accessible and highly visited areas, higher biodiversity increases the intensity of wildlife watching activities. Synthesis and applications. Areas of high natural and conservation value and areas of high recreational value do not tend to overlap. Recreational ecosystem services are mainly provided by the wider countryside and highly transformed landscapes, as opposed to wild ecosystems and protected areas designated to protect environmental features of high conservation value. These results question the synergy between the goals of recreation and those of conservation and the use of recreation as a justification for economic investment in conservation. During wildlife watching activities most people experience an urbanised, highly transformed nature; it is important to determine how this human-dominated nature can influence support for conservation of wild and remote areas.	[Mancini, Francesca; Lusseau, David] Univ Aberdeen, Inst Biol & Environm Sci, Aberdeen, Scotland; [Coghill, George M.] Univ Aberdeen, Dept Comp Sci, Aberdeen, Scotland	Mancini, F (reprint author), Univ Aberdeen, Inst Biol & Environm Sci, Aberdeen, Scotland.	r03fm14@abdn.ac.uk	Mancini, Francesca/P-6332-2019; Mancini, Francesca/F-3443-2019	Mancini, Francesca/0000-0003-4085-4978; Mancini, Francesca/0000-0003-4085-4978	University of Aberdeen; Scottish Natural Heritage	University of Aberdeen; Scottish Natural Heritage		51	0	0	13	13	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0021-8901	1365-2664		J APPL ECOL	J. Appl. Ecol.	FEB	2019	56	2					387	397		10.1111/1365-2664.13274				11	Biodiversity Conservation; Ecology	Biodiversity & Conservation; Environmental Sciences & Ecology	HK0HW	WOS:000457580700012					2019-08-09	
J	Bruckerhoff, LA; Leasure, DR; Magoulick, DD				Bruckerhoff, Lindsey A.; Leasure, Douglas R.; Magoulick, Daniel D.			Flow-ecology relationships are spatially structured and differ among flow regimes	JOURNAL OF APPLIED ECOLOGY			English	Article						environmental flows; fish; hydrology; life-history strategies; spatial autocorrelation; spatial stream network models; streams; traits	LIFE-HISTORY STRATEGIES; MOVING-AVERAGE APPROACH; GLOBAL-SCALE ANALYSIS; FRESH-WATER FISHES; HYDROLOGIC ALTERATION; STATISTICAL-MODELS; CLIMATE-CHANGE; STREAM; TRAITS; DIVERSIFICATION	In streams, hydrology is a predominant driver of ecological structure and function. Providing adequate flows to support aquatic life, or environmental flows, is therefore a top management priority in stream systems. Flow regime classification is a widely accepted approach for establishing environmental flow guidelines. However, it is surprisingly difficult to quantify relationships between hydrology and ecology (flow-ecology relationships) while describing how these relationships vary across classified flow regimes. Developing such relationships is complicated by several sources of spatial bias, such as autocorrelation due to spatial design, flow regime classification and other environmental or ecological sources of spatial bias. We used mixed moving-average spatial stream network models to develop flow-ecology relationships across classified flow regimes and to assess spatial patterns of these relationships. We compared relationships between fish traits and life-history strategies with hydrologic metrics across flow regimes and assessed whether spatial autocorrelation influenced these relationships. Trait-hydrology relationships varied between flow regimes and across all streams combined. Some relationships between traits and hydrologic metrics fit predictions based on life-history theory, while others exhibited unexpected relationships with hydrology. Spatial factors described a large proportion of variability in fish traits and different patterns of spatial autocorrelation were observed in different flow regimes. Synthesis and applications. Further work is needed to understand why flow-ecology relationships vary across classified flow regimes and why these relationships may not fit predictions based on life-history theories. Managers determining environmental flow standards need to be aware that different hydrologic metrics are often important drivers of fish trait diversity in different flow regimes. Flow-ecology relationships may therefore be confounded by spatial structure inherent in flow regime classification and much existing biological data. Complex patterns of spatial bias should be considered when managing stream systems within an environmental flows framework.	[Bruckerhoff, Lindsey A.] Univ Arkansas, Dept Biol Sci, Arkansas Cooperat Fish & Wildlife Res Unit, Fayetteville, AR 72701 USA; [Leasure, Douglas R.] Univ Georgia, River Basin Ctr, Odum Sch Ecol, Athens, GA 30602 USA; [Magoulick, Daniel D.] Univ Arkansas, Dept Biol Sci, US Geol Survey, Arkansas Cooperat Fish & Wildlife Res Unit, Fayetteville, AR 72701 USA	Bruckerhoff, LA (reprint author), Univ Arkansas, Dept Biol Sci, Arkansas Cooperat Fish & Wildlife Res Unit, Fayetteville, AR 72701 USA.	lbrucke@ksu.edu		Leasure, Douglas/0000-0002-8768-2811; Magoulick, Daniel/0000-0001-9665-5957	University of Arkansas Cooperative Fish and Wildlife Research Unit	University of Arkansas Cooperative Fish and Wildlife Research Unit		67	0	0	15	15	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0021-8901	1365-2664		J APPL ECOL	J. Appl. Ecol.	FEB	2019	56	2					398	412		10.1111/1365-2664.13297				15	Biodiversity Conservation; Ecology	Biodiversity & Conservation; Environmental Sciences & Ecology	HK0HW	WOS:000457580700013					2019-08-09	
J	Lyons, R; Togashi, T; Bowyer, C				Lyons, Rebecca; Togashi, Trevor; Bowyer, Chad			Environmental conditions affecting re-release from particulate matter of 4-Nonylphenol into an aqueous medium	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY			English	Article						Endocrine disruptors; Desorption; Climate change; Particulates; Environmental reservoirs	SOIL ORGANIC-MATTER; SIERRA-NEVADA; BLACK CARBON; SORPTION; NONYLPHENOL; POLLUTANTS; DESORPTION; CALIFORNIA; TRANSPORT; WATER	4-nonylphenol is a persistent organic pollutant with endocrine-disrupting properties. A nonpolar product of microbial degradation derived from the surfactant nonylphenol polyethoxylate, 4-nonylphenol is capable of long-range transport attached to particulates. Bioactive concentrations of 4-nonylphenol have been found in the surface water, soils, snow, and particulate matter of the Eastern Sierra Nevada Mountains (USA) hundreds of miles from their origins. As a result of particulate deposition, seasonal and glacial snow pack concentrations measured 20 to 100 times higher than in surface waters. Batch desorption assays were run on particulate matter dosed with 4-nonylphenol. Desorption was measured in 63 to 500 mu m particles under 2 different temperature conditions with varying fractions of organic carbon in turbulent or undisturbed states. Lower temperatures (4 degrees C) decreased the mean percentage of 4-nonylphenol released from particulates in disturbed and undisturbed conditions, whereas the mean percentage of 4-nonylphenol released at 20 degrees C was reduced by agitation. The effect of agitation at 4 degrees C was not practically or statistically significant. Particulates with a higher percentage of organic carbon (75%) released very little of the bound 4-nonylphenol (0.53%) compared with particulates containing 4 to 5% of organic carbon that released up to 13%. Larger particles released the least amount of 4-nonylphenol, whereas smaller particles released the most amount. Water and sediment samples taken from below the Palisades Glacier in the Sierra Nevada Mountains showed the greatest 4-nonylphenol concentrations directly below the glacier, implying that glacial particulates will release adsorbed 4-nonylphenol. Environ Toxicol Chem 2019;38:350-360. (c) 2018 SETAC	[Lyons, Rebecca; Togashi, Trevor; Bowyer, Chad] Univ Redlands, Coll Arts & Sci Chem, Redlands, CA 92373 USA	Lyons, R (reprint author), Univ Redlands, Coll Arts & Sci Chem, Redlands, CA 92373 USA.	rebecca_lyons@redlands.edu						54	0	0	2	2	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0730-7268	1552-8618		ENVIRON TOXICOL CHEM	Environ. Toxicol. Chem.	FEB	2019	38	2					350	360		10.1002/etc.4333				11	Environmental Sciences; Toxicology	Environmental Sciences & Ecology; Toxicology	HJ8SM	WOS:000457470000008	30548327				2019-08-09	
J	Llewelyn, VK; Berger, L; Glass, BD				Llewelyn, Victoria K.; Berger, Lee; Glass, Beverley D.			Effects of skin region and relative lipophilicity on percutaneous absorption in the toad Rhinella marina	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY			English	Article						Absorption; Amphibians; Octanol-water partition coefficient; Toxicokinetics; Wildlife toxicology; Skin	BUFO-MARINUS; WATER-BALANCE; LIFE-STAGES; TOXICITY; AMPHIBIANS; SUSCEPTIBILITY; PERMEABILITY; ADAPTATIONS; ANESTHESIA; MALATHION	Owing to the dynamic interaction between frog skin and the environment, xenobiotics in frog habitats are of particular concern, and knowledge of percutaneous absorption in frog skin is necessary for risk-mitigation purposes. Baseline transdermal kinetics in adult aquatic and arboreal frog species have recently been reported; however, there is little information regarding absorption kinetics in adult terrestrial species. The present study investigated the in vitro absorption kinetics of 3 model chemicals-caffeine, benzoic acid, and ibuprofen-through different skin regions in the terrestrial toad Rhinella marina. Caffeine flux was consistently higher than that of the other 2 chemicals (p < 0.001), whereas the fluxes of the moderately and highly lipophilic chemicals (benzoic acid and ibuprofen) were similar, regardless of skin region. When considering individual chemicals, caffeine demonstrated increased flux through the ventral pelvic skin compared with the ventral thoracic or dorsal skin regions. Flux did not differ between skin regions for either benzoic acid or ibuprofen. These findings have implications for management of environmental contamination in frog habitats, as many environmental xenobiotics are of moderate to high lipophilicity and would be expected to be equally absorbed from all skin surfaces in terrestrial toads. Environ Toxicol Chem 2019;38:361-367. (c) 2018 SETAC	[Llewelyn, Victoria K.; Glass, Beverley D.] James Cook Univ, Coll Med & Dent, Pharm, Townsville, Qld, Australia; [Berger, Lee] James Cook Univ, Coll Publ Hlth Med & Vet Sci, Hlth Res Grp 1, Townsville, Qld, Australia	Llewelyn, VK (reprint author), James Cook Univ, Coll Med & Dent, Pharm, Townsville, Qld, Australia.	tori.llewelyn@jcu.edu.au						47	0	0	3	3	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0730-7268	1552-8618		ENVIRON TOXICOL CHEM	Environ. Toxicol. Chem.	FEB	2019	38	2					361	367		10.1002/etc.4302				7	Environmental Sciences; Toxicology	Environmental Sciences & Ecology; Toxicology	HJ8SM	WOS:000457470000009	30370675				2019-08-09	
J	Boegehold, AG; Alame, K; Johnson, NS; Kashian, DR				Boegehold, Anna G.; Alame, Karim; Johnson, Nicholas S.; Kashian, Donna R.			Cyanobacteria reduce motility of quagga mussel (Dreissena rostriformis bugensis) sperm	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY			English	Article						Dreissenid; Reproduction; Broadcast spawner; Microcystis	EXTRACELLULAR POLYMERIC SUBSTANCES; ZEBRA MUSSEL; FRESH-WATER; MICROCYSTIS BLOOMS; FERTILIZATION; REPRODUCTION; POLYMORPHA; MARINE; APHANIZOMENON; DISPLACEMENT	The temporal expansion of harmful algal blooms, primarily associated with cyanobacteria, may impact aquatic organisms at vulnerable life-history stages. Broadcast spawning species release gametes into the water column for external fertilization, directly exposing sperm to potential aquatic stressors. To determine if cyanobacteria can disrupt reproduction in freshwater broadcast spawners, we evaluated sublethal effects of cyanobacteria exposure on quagga mussel (Dreissena rostriformis bugensis) sperm. In laboratory studies, sperm were collected after inducing mussels to spawn using serotonin and exposed to 11 cultures of cyanobacteria including Anabaena flos-aquae, Aphanizomenon flos-aquae, Dolichospermum lemmermannii, Gloeotrichia echinulata, 5 cultures of Microcystis aeruginosa, M. wesenbergii, and Planktothrix suspensa. Sperm motility, using endpoints of cumulative distance traveled and mean velocity, was calculated for a minimum of 10 individual sperm using a novel optical biotracking assay method. The distance and velocity at which sperm traveled decreased when exposed to Aphanizomenon flos-aquae and 2 M. aeruginosa cultures. Our findings indicate that cyanobacteria impede the motility of quagga mussel sperm, which can potentially result in reproductive impairments to mussels and potentially other broadcast spawning species. Environ Toxicol Chem 2019;38:368-374. (c) 2018 SETAC	[Boegehold, Anna G.; Alame, Karim; Kashian, Donna R.] Wayne State Univ, Dept Biol Sci, Detroit, MI 48202 USA; [Johnson, Nicholas S.] US Geol Survey, Hammond Bay Biol Stn, Great Lakes Sci Ctr, Millersburg, MI USA	Kashian, DR (reprint author), Wayne State Univ, Dept Biol Sci, Detroit, MI 48202 USA.	dkashian@wayne.edu			US Geological Survey through the Great Lakes Restoration Initiative [G15AC00035]; Society for Freshwater Science 2017 Best Presentation Emphasizing Methodology award	We thank D. Pitts for the guidance and use of his laboratory equipment for sperm analysis and S. Watson (Environment and Climate Change Canada) and T. Davis (National Oceanic and Atmospheric Administration/Great Lakes Environmental Research Lab) for their contribution of cyanobacteria cultures and expertise. We also thank past and current members of the Kashian lab, including D. Hunt, C. Krabbenhoft, A. Shakoor, E. Davis, and R. Antoon, for their support with field sampling, laboratory assays, and insightful feedback. Funding was provided by the US Geological Survey through the Great Lakes Restoration Initiative (G15AC00035) and the Society for Freshwater Science 2017 Best Presentation Emphasizing Methodology award.		58	0	0	11	11	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0730-7268	1552-8618		ENVIRON TOXICOL CHEM	Environ. Toxicol. Chem.	FEB	2019	38	2					368	374		10.1002/etc.4305				7	Environmental Sciences; Toxicology	Environmental Sciences & Ecology; Toxicology	HJ8SM	WOS:000457470000010	30362595				2019-08-09	
J	Boone, KS; Di Toro, DM				Boone, Kathleen S.; Di Toro, Dominic M.			Target site model: Predicting mode of action and aquatic organism acute toxicity using Abraham parameters and feature-weighted k-nearest neighbors classification	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY			English	Article						Mode of action; Environmental modeling; Pesticide risk assessment; Aquatic toxicology	CLASSIFYING ENVIRONMENTAL-POLLUTANTS; DISCRIMINATING TOXICANT CLASSES; NARCOTIC CHEMICALS; TECHNICAL BASIS; RISK-ASSESSMENT; CONSTRUCTION; PARTITION; POLAR; QSAR	A database of 1480 chemicals with 47 associated modes of action compiled from the literature encompasses a wide range of chemical classes (alkanes, polycyclic aromatic hydrocarbons, pesticides, and polar compounds) and includes toxicity data for 79 different aquatic genera. The data were split into a calibration group and a validation group (80/20) to apply k-nearest neighbors (k-NN) methodology to predict the toxic mode of action for the compound. Other approaches were tested (support vector machines and linear discriminant analysis) as well as variations in the k-NN technique (distance weighting, feature weighting). Best-prediction results were found with k = 3, in a voting platform with optimized feature weighting. Using the predicted mode of action, the appropriate polyparameter target site model for that mode of action is applied to calculate the 50% lethal concentration (LC50). Predicted LC50s for the validation database resulted in a root-mean squared error (RMSE) of 0.752. This can be compared to an RMSE of 0.655 for the same validation set using the reference mode of action labels. The complete database resulted in an RMSE of 0.793 for reference mode of action labels. This confirms that the classification model has sufficient accuracy for predicting the mode of action and for determining toxicity using the target site model. Environ Toxicol Chem 2019;38:375-386. (c) 2018 SETAC	[Boone, Kathleen S.; Di Toro, Dominic M.] Univ Delaware, Dept Civil & Environm Engn, Newark, DE 19716 USA	Di Toro, DM (reprint author), Univ Delaware, Dept Civil & Environm Engn, Newark, DE 19716 USA.	dditoro@udel.edu						39	0	0	6	8	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0730-7268	1552-8618		ENVIRON TOXICOL CHEM	Environ. Toxicol. Chem.	FEB	2019	38	2					375	386		10.1002/etc.4324				12	Environmental Sciences; Toxicology	Environmental Sciences & Ecology; Toxicology	HJ8SM	WOS:000457470000011	30506854				2019-08-09	
J	Schmolke, A; Abi-Akar, F; Hinarejos, S				Schmolke, Amelie; Abi-Akar, Farah; Hinarejos, Silvia			Honey bee colony-level exposure and effects in realistic landscapes: An application of BEEHAVE simulating clothianidin residues in corn pollen	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY			English	Article						Pesticide risk assessment; Honey bee colony model; Mechanistic effects modeling; Landscape composition	PESTICIDE; MODEL; EXPLORE; SURVIVAL; SUPPORT; HIVE; CROP	Discerning potential effects of insecticides on honey bee colonies in field studies conducted under realistic conditions can be challenging because of concurrent interactions with other environmental conditions. Honey bee colony models can control exposures and other environmental factors, as well as assess links among pollen and nectar residues in the landscape, their influx into the colony, and the resulting exposures and effects on bees at different developmental stages. We extended the colony model BEEHAVE to represent exposure to the insecticide clothianidin via residues in pollen from treated cornfields set in real agricultural landscapes in the US Midwest. We assessed their potential risks to honey bee colonies over a 1-yr cycle. Clothianidin effects on colony strength were only observed if unrealistically high residue levels in the pollen were simulated. The landscape composition significantly impacted the collection of pollen (residue exposure) from the cornfields, resulting in higher colony-level effects in landscapes with lower proportions of semi-natural land. The application of the extended BEEHAVE model with a pollen exposure-effects module provides a case study for the application of a mechanistic honey bee colony model in pesticide risk assessment integrating the impact of a range of landscape compositions. Environ Toxicol Chem 2019;38:423-435. (c) 2018 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals, Inc. on behalf of SETAC.	[Schmolke, Amelie; Abi-Akar, Farah] Waterborne Environm, Leesburg, VA 20175 USA; [Hinarejos, Silvia] Valent USA, Dublin, CA USA	Schmolke, A (reprint author), Waterborne Environm, Leesburg, VA 20175 USA.	chmolkea@waterborne-env.com			Valent U.S.A	The present study was funded by Valent U.S.A. We thank C. Roy for data collection with the model and production of images, and N. Guth and B. Kearns for assistance with data compilation for model inputs. We are grateful to a reviewer for helpful comments on the previous version of the present study.		47	0	0	5	5	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0730-7268	1552-8618		ENVIRON TOXICOL CHEM	Environ. Toxicol. Chem.	FEB	2019	38	2					423	435		10.1002/etc.4314				13	Environmental Sciences; Toxicology	Environmental Sciences & Ecology; Toxicology	HJ8SM	WOS:000457470000015	30575066	Other Gold			2019-08-09	
J	Elikem, E; Laird, BD; Hamilton, JG; Stewart, KJ; Siciliano, SD; Peak, D				Elikem, Essouassi; Laird, Brian D.; Hamilton, Jordan G.; Stewart, Katherine J.; Siciliano, Steven D.; Peak, Derek			Effects of chemical speciation on the bioaccessibility of zinc in spiked and smelter-affected soils	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY			English	Article						Metal; Speciation; Risk assessment; Bioaccessibility; Soil contamination	RAY-ABSORPTION SPECTROSCOPY; IN-VITRO; ORAL BIOACCESSIBILITY; DISSOLUTION KINETICS; ENCHYTRAEUS-ALBIDUS; CONTAMINATED SOILS; EISENIA-FOETIDA; LEAD; BIOAVAILABILITY; TOXICITY	Previous studies have suggested that understanding soil metal speciation, rather than relying solely on total metal content, can improve the accuracy and utility of contaminated site risk assessments. Because soil properties and reaction time can alter metal speciation, speciation should influence metal bioaccessibility. For example, under gastrointestinal conditions, it is expected that metal species will differ in bioaccessibility depending on their stability in acidic pH environments. We studied the links between metal speciation and bioaccessibility. A combination of synchrotron-based X-ray diffraction and X-ray absorption near edge structure (XANES) was used to identify the zinc (Zn) speciation in spiked and smelter-affected soils. After conducting in vitro digestion tests on the soil samples, XANES and linear combination fitting were carried out on the residual pellets to identify the species of Zn that remained after digesting the soils in the simulated gastric and duodenal fluids. The metal species that were not present in the residual pellets were inferred to have been dissolved and, thus, more bioaccessible. Sphalerite (ZnS), ZnO, and outer-sphere Zn contributed more to Zn bioaccessibility than franklinite (ZnFe2O4) and Zn incorporated into a hydroxy interlayer mineral (Zn-HIM). The bioaccessibility of Zn-aluminum layered double hydroxides (Zn-Al-LDH) was found to be inversely proportional to its residence time in soil. It was also observed that the relatively high pH of the duodenum favors metal reprecipitation and readsorption, leading to a reduction in bioaccessible metal concentration. These results imply that metal speciation mainly controls metal bioaccessibility. Environ Toxicol Chem 2019;38:448-459. (c) 2018 SETAC.	[Elikem, Essouassi; Hamilton, Jordan G.; Stewart, Katherine J.; Siciliano, Steven D.; Peak, Derek] Univ Saskatchewan, Dept Soil Sci, Saskatoon, SK, Canada; [Laird, Brian D.] Univ Waterloo, Sch Publ Hlth & Hlth Syst, Waterloo, ON, Canada	Elikem, E (reprint author), Univ Saskatchewan, Dept Soil Sci, Saskatoon, SK, Canada.	essouassi.elikem@usask.ca	Laird, Brian D/B-3581-2013	Laird, Brian D/0000-0001-6127-1865	Natural Science and Engineering Research Council (NSERC) of Canada; NSERC; National Research Council Canada; Canadian Institutes of Health Research; Province of Saskatchewan; Western Economic Diversification Canada; University of Saskatchewan	The present study was supported by the Natural Science and Engineering Research Council (NSERC) of Canada. We thank K. Jegede, K. Awuah, and M. Cousins (University of Saskatchewan) for providing technical assistance with the soil spiking methods. We also thank the Canadian Macromolecular Crystallography Facility and Hard X-Ray Micro-Analysis beamline staff at Canadian Light Source (CLS) for their assistance in beamline optimization. The CLS is supported by NSERC, the National Research Council Canada, the Canadian Institutes of Health Research, the Province of Saskatchewan, Western Economic Diversification Canada, and the University of Saskatchewan.		50	1	1	13	14	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0730-7268	1552-8618		ENVIRON TOXICOL CHEM	Environ. Toxicol. Chem.	FEB	2019	38	2					448	459		10.1002/etc.4328				12	Environmental Sciences; Toxicology	Environmental Sciences & Ecology; Toxicology	HJ8SM	WOS:000457470000017	30525224				2019-08-09	
J	Grunst, AS; Grunst, ML; Gonser, RA; Tuttle, EM				Grunst, Andrea S.; Grunst, Melissa L.; Gonser, Rusty A.; Tuttle, Elaina M.			Developmental stress and telomere dynamics in a genetically polymorphic species	JOURNAL OF EVOLUTIONARY BIOLOGY			English	Article						developmental stress; disassortative mating; genetic polymorphism; telomeres; white-throated sparrow	WHITE-THROATED SPARROW; OXIDATIVE STRESS; PHENOTYPIC DEVELOPMENT; EARLY NUTRITION; METABOLIC-RATE; GROWTH-RATE; BROOD SIZE; LENGTH; SONG; SEX	A central objective of evolutionary biology is understanding variation in life-history trajectories and the rate of aging, or senescence. Senescence can be affected by trade-offs and behavioural strategies in adults but may also be affected by developmental stress. Developmental stress can accelerate telomere degradation, with long-term longevity and fitness consequences. Little is known regarding whether variation in developmental stress and telomere dynamics contributes to patterns of senescence during adulthood. We investigated this question in the dimorphic white-throated sparrow (Zonotrichia albicollis), a species in which adults of the two morphs exhibit established differences in behavioural strategy and patterns of senescence, and also evaluated the relationship between oxidative stress and telomere length. Tan morph females, which exhibit high levels of unassisted parental care, display faster reproductive senescence than white females, and faster actuarial senescence than all of the other morph-sex classes. We hypothesized that high oxidative stress and telomere attrition in tan female nestlings could contribute to this pattern, since tan females are small and potentially at a competitive disadvantage even as nestlings. Nestlings that were smaller than nest mates had higher oxidative stress, and nestlings with high oxidative stress and fast growth rates displayed shorter telomeres. However, we found no consistent morph-sex differences in oxidative stress or telomere length. Results suggest that oxidative stress and fast growth contribute to developmental telomere attrition, with potential ramifications for adults, but that developmental oxidative stress and telomere dynamics do not account for morph-sex differences in senescence during adulthood.	[Grunst, Andrea S.; Grunst, Melissa L.; Gonser, Rusty A.; Tuttle, Elaina M.] Indiana State Univ, Ctr Genom Advocacy, Dept Biol, Terre Haute, IN 47809 USA; [Grunst, Andrea S.; Grunst, Melissa L.] Univ Antwerp, Dept Biol, Behav Ecol & Ecophysiol Res Grp, Antwerp, Belgium	Gonser, RA (reprint author), Indiana State Univ, Ctr Genom Advocacy, Dept Biol, Terre Haute, IN 47809 USA.	rusty.gonser@indstate.edu	, andrea.grunst@indstate.edu/S-5992-2019	, andrea.grunst@indstate.edu/0000-0001-5705-9845	National Institutes of Health [1R01GM084229]; School of Graduate and Professional Studies at Indiana State University; National Science Foundation [DUE-0934648]	National Institutes of Health, Grant/Award Number: 1R01GM084229; The School of Graduate and Professional Studies at Indiana State University; The National Science Foundation, Grant/Award Number: DUE-0934648		68	0	0	9	9	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1010-061X	1420-9101		J EVOLUTION BIOL	J. Evol. Biol.	FEB	2019	32	2					134	143		10.1111/jeb.13400				10	Ecology; Evolutionary Biology; Genetics & Heredity	Environmental Sciences & Ecology; Evolutionary Biology; Genetics & Heredity	HK1ED	WOS:000457646900001	30417475				2019-08-09	
